No_of_wheels,Battery_Capacity,Vehicle_mass_kg,Driver_mass_kg,C_rr,Grade,area,air_density,radius_of_wheel,Gear_ratio,transmission_efficiency,motor_efficiency,Gross_vehivle_mass,g,motor_controller_efficiency,coefficient_of_drag,Distance_travel,Battery_Capacity_available
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,691.667,13172.03986
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,708.333,13169.43732
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,725,13166.83478
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,741.667,13164.23225
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,758.333,13161.62971
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,775,13159.02717
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,791.667,13156.42463
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,808.333,13153.8221
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,825,13151.21956
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,841.667,13148.61702
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,858.333,13146.01449
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,875,13143.41195
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,891.667,13140.80941
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,908.333,13138.20687
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,925,13135.60434
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,941.667,13133.0018
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,958.333,13130.39926
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,975,13127.79672
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,991.667,13125.19419
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1008.333,13122.59165
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1025,13119.98911
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1041.667,13117.38658
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1058.333,13114.78404
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1075,13112.1815
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1091.667,13109.57896
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1108.333,13106.97643
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1125,13104.37389
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1141.667,13101.77135
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1158.333,13099.16882
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1175,13096.56628
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1191.667,13093.96374
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1208.333,13091.3612
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1225,13088.75867
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1241.667,13086.15613
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1258.333,13083.55359
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1275,13080.95105
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1291.667,13078.34852
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1308.333,13075.74598
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1325,13073.14344
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1341.667,13070.54091
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1358.333,13067.93837
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1375,13065.33583
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1391.667,13062.73329
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1408.333,13060.13076
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1425,13057.52822
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1441.667,13054.92568
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1458.333,13052.32315
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1475,13049.72061
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1491.667,13047.11807
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1508.333,13044.51553
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1525,13041.913
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1541.667,13039.31046
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1558.333,13036.70792
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1575,13034.10538
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1591.667,13031.50285
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1608.333,13028.90031
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1625,13026.29777
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1641.667,13023.69524
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1658.333,13021.0927
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1675,13018.49016
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1691.667,13015.88762
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1708.333,13013.28509
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1725,13010.68255
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1741.667,13008.08001
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1758.333,13005.47747
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1775,13002.87494
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1791.667,13000.2724
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1808.333,12997.66986
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1825,12995.06733
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1841.667,12992.46479
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1858.333,12989.86225
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1875,12987.25971
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1891.667,12984.65718
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1908.333,12982.05464
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1925,12979.4521
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1941.667,12976.84957
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1958.333,12974.24703
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1975,12971.64449
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,1991.667,12969.04195
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2008.333,12966.43942
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2025,12963.83688
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2041.667,12961.23434
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2058.333,12958.6318
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2075,12956.02927
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2091.667,12953.42673
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2108.333,12950.82419
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2125,12948.22166
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2141.667,12945.61912
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2158.333,12943.01658
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2175,12940.41404
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2191.667,12937.81151
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2208.333,12935.20897
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2225,12932.60643
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2241.667,12930.0039
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2258.333,12927.40136
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2275,12924.79882
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2291.667,12922.19628
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2308.333,12919.59375
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2325,12916.99121
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2341.667,12914.38867
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2358.333,12911.78613
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2375,12909.1836
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2391.667,12906.58106
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2408.333,12903.97852
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2425,12901.37599
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2441.667,12898.77345
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2458.333,12896.17091
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2475,12893.56837
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2491.667,12890.96584
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2508.333,12888.3633
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2525,12885.76076
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2541.667,12883.15822
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2558.333,12880.55569
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2575,12877.95315
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2591.667,12875.35061
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2608.333,12872.74808
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2625,12870.14554
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2641.667,12867.543
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2658.333,12864.94046
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2675,12862.33793
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2691.667,12859.73539
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2708.333,12857.13285
